property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
apartment,GustavoAMadero,MXN,123813.2,110.0,1125.6,19.478473,-99.120734,No
apartment,Azcapotzalco,MXN,129655.0,98.0,1323.0,19.469769,-99.157379,No
house,Tlalpan,MXN,200208.6,109.0,1836.8,19.2801195,-99.2137844,No
apartment,MiguelHidalgo,MXN,66455.9,85.0,781.8,19.452143,-99.181477,No
apartment,MiguelHidalgo,USD,1350000.0,350.0,3857.1,19.4011351582,-99.2554439631,No
apartment,Cuajimalpa,MXN,147557.1,65.0,2270.1,19.3499358,-99.2906864,No
apartment,MiguelHidalgo,MXN,283453.3,287.0,987.6,19.43475,-99.189814,No
apartment,BenitoJuarez,MXN,154724.2,74.0,2090.9,19.3807458,-99.1553016,No
apartment,Cuauhtemoc,MXN,79626.8,351.0,226.9,19.445742,-99.159469,No
apartment,AlvaroObregon,MXN,94858.2,64.0,1482.2,19.386551,-99.193708,No
apartment,Azcapotzalco,MXN,76395.4,64.0,1193.7,19.466822,-99.157379,No
apartment,BenitoJuarez,MXN,108475.6,63.0,1721.8,19.370501,-99.139389,No
apartment,AlvaroObregon,MXN,180230.5,150.0,1201.5,19.382986,-99.241837,No
house,AlvaroObregon,MXN,1577960.2,1084.0,1455.7,19.326543,-99.195963,No
apartment,MiguelHidalgo,MXN,1027630.1,297.0,3460.0,19.407269,-99.190754,Yes
house,Iztapalapa,MXN,26870.1,100.0,268.7,19.383948,-99.067884,No
house,Xochimilco,MXN,403854.9,371.0,1088.6,19.2707122505,-99.1396721452,Yes
house,GustavoAMadero,MXN,76132.0,90.0,845.9,19.4548897,-99.0538781,No
apartment,VenustianoCarranza,MXN,52686.5,10.0,5268.6,19.417028,-99.065176,No
apartment,Azcapotzalco,MXN,31822.6,75.0,424.3,19.462425,-99.17654,No
apartment,Coyoacan,MXN,55252.2,302.0,183.0,19.306092,-99.113431,No
house,Tlalpan,MXN,179134.0,80.0,2239.2,19.286214,-99.222026,No
apartment,Cuauhtemoc,MXN,106918.4,105.0,1018.3,19.408904,-99.174556,No
house,AlvaroObregon,MXN,125393.8,250.0,501.6,19.337902,-99.236776,No
apartment,Cuajimalpa,USD,800000.0,446.0,1793.7,19.390415,-99.254997,No
apartment,Azcapotzalco,MXN,48340.9,49.0,986.5,19.484102,-99.18436,No
house,AlvaroObregon,MXN,136405.3,290.0,470.4,19.353288,-99.244721,No
apartment,Azcapotzalco,MXN,71126.8,75.0,948.4,19.474885,-99.188231,No
apartment,Iztapalapa,MXN,30716.2,56.0,548.5,19.36994,-99.007399,No
apartment,AlvaroObregon,MXN,225450.7,93.0,2424.2,19.358585,-99.185753,No
apartment,AlvaroObregon,MXN,141683.3,300.0,472.3,19.337013,-99.197613,No
apartment,BenitoJuarez,MXN,54899.3,70.0,784.3,19.379525,-99.188914,No
apartment,Cuajimalpa,MXN,231820.5,162.0,1431.0,19.35735,-99.299792,No
