,property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
13739,apartment,Cuajimalpa,USD,2250000.0,400.0,5625.0,19.390415,-99.254997,No
13745,house,MiguelHidalgo,USD,3000000.0,605.0,4959.0,19.407269,-99.190754,No
13765,house,Tlalpan,MXN,1290071.0,806.0,1601.0,19.301781,-99.20237,Yes
13797,store,Cuauhtemoc,MXN,2212832.0,733.0,3019.0,19.4392516,-99.1636051,No
13812,apartment,MiguelHidalgo,MXN,1064267.0,381.0,2793.0,19.4374339,-99.1870814,No
13813,apartment,Cuajimalpa,USD,1100000.0,380.0,2895.0,19.395424,-99.258068,No
13814,apartment,MiguelHidalgo,USD,2100000.0,320.0,6562.0,19.2464696,-99.1013498,No
13833,house,MiguelHidalgo,USD,2800000.0,700.0,4000.0,19.2464696,-99.1013498,No
13843,apartment,MiguelHidalgo,USD,3033000.0,586.0,5176.0,19.438316,-99.210794,No
13844,apartment,MiguelHidalgo,USD,1400000.0,364.0,3846.0,19.437045,-99.192255,No
13856,house,Iztapalapa,MXN,160694.0,1050.0,153.0,19.395473,-99.046986,No
13861,apartment,MiguelHidalgo,USD,1980000.0,413.0,4794.0,19.407269,-99.190754,Yes
13864,house,Cuajimalpa,USD,1500000.0,800.0,1875.0,19.35735,-99.299792,No
13930,house,MiguelHidalgo,USD,3650000.0,720.0,5069.0,19.399578,-99.244229,No
13977,house,AlvaroObregon,MXN,1317474.0,785.0,1678.0,19.3099346,-99.2131729,No
13991,apartment,MiguelHidalgo,USD,2400000.0,470.0,5106.0,19.431281,-99.201453,No
14018,house,Cuajimalpa,USD,1950000.0,620.0,3145.0,19.3772333,-99.276483,Yes
14047,house,Tlalpan,MXN,1053730.0,400.0,2634.0,19.298871,-99.208044,No
14082,house,Cuajimalpa,USD,2000000.0,500.0,4000.0,19.3464202,-99.2537956,Yes
14112,apartment,MiguelHidalgo,USD,1019992.0,219.0,4657.0,23.634501,-102.552788,No
14124,apartment,MiguelHidalgo,MXN,1575699.0,257.0,6131.0,19.407269,-99.190754,No
14125,apartment,MiguelHidalgo,MXN,1264476.0,462.0,2737.0,19.401079,-99.24807,No
